model,population,family,direction_id,dose,items,boards,mean_semantic_margin,mean_delta_from_zero,delta_ci_low,delta_ci_high,verdict_change_rate_from_zero
gemma,BOTH_CLEAR,random_orthogonal,orthogonal_2026082103,2.0,297,121,-0.8026094260039153,-0.0199724517906336,-0.0700359494889734,0.0295314690626685,0.0
gemma,BOTH_CLEAR,wrong_layer,frozen_dim,-2.0,297,121,-2.9391835008807456,-2.2200413262548526,-2.4915332415790266,-1.9729855362787725,0.0673400673400673
gemma,BOTH_CLEAR,wrong_layer,frozen_dim,-1.0,297,121,-1.7001262686469338,-0.926179417893906,-1.0394735774553838,-0.82924307502252,0.0101010101010101
gemma,BOTH_CLEAR,wrong_layer,frozen_dim,-0.5,297,121,-1.2178030301023413,-0.433410816366679,-0.4887224589394965,-0.3858019150916703,0.0067340067340067
gemma,BOTH_CLEAR,wrong_layer,frozen_dim,0.0,297,121,-0.7870370354315247,0.0,0.0,0.0,0.0
gemma,BOTH_CLEAR,wrong_layer,frozen_dim,0.5,297,121,-0.3476430962382744,0.4375860881542699,0.3864486410721275,0.4949638326716488,0.0269360269360269
gemma,BOTH_CLEAR,wrong_layer,frozen_dim,1.0,297,121,0.138257577363088,0.9286329174008908,0.8212766755793048,1.044466684450788,0.0538720538720538
gemma,BOTH_CLEAR,wrong_layer,frozen_dim,2.0,297,121,1.5153619546681545,2.2932592954271094,2.0303428413454165,2.5581191860231733,0.1077441077441077
gemma,DISPUTED,dim,frozen_dim,-2.0,203,108,-6.5508004929044565,-4.709394294538616,-5.356403118638712,-4.116622065444604,0.3990147783251231
gemma,DISPUTED,dim,frozen_dim,-1.0,203,108,-4.113916256451255,-2.2380401268601418,-2.513466917516457,-1.962997927553492,0.1724137931034483
gemma,DISPUTED,dim,frozen_dim,-0.5,203,108,-2.9630541860176423,-1.0581597260854865,-1.1971944970780133,-0.924615407385576,0.0788177339901477
gemma,DISPUTED,dim,frozen_dim,0.0,203,108,-1.9236453160863791,0.0,0.0,0.0,0.0
gemma,DISPUTED,dim,frozen_dim,0.5,203,108,-0.7660098504550351,1.186294365996196,1.0220811613731915,1.3599090942722043,0.0886699507389162
gemma,DISPUTED,dim,frozen_dim,1.0,203,108,0.9485837401721278,2.880497678884385,2.530374699948286,3.24590566755376,0.1773399014778325
gemma,DISPUTED,dim,frozen_dim,2.0,203,108,4.602832510847176,6.321277000929839,5.618885025669488,7.021236009286416,0.5911330049261084
gemma,DISPUTED,opposite_dim,negative_frozen_dim,-2.0,203,108,4.602832510847176,6.321277000929839,5.617425005602432,7.02294560044452,0.5911330049261084
gemma,DISPUTED,opposite_dim,negative_frozen_dim,-1.0,203,108,0.9485837401721278,2.880497678884385,2.5387249149830526,3.2223198739662307,0.1773399014778325
gemma,DISPUTED,opposite_dim,negative_frozen_dim,-0.5,203,108,-0.7660098504550351,1.186294365996196,1.023001057576434,1.3626362324818777,0.0886699507389162
gemma,DISPUTED,opposite_dim,negative_frozen_dim,0.0,203,108,-1.9236453160863791,0.0,0.0,0.0,0.0
gemma,DISPUTED,opposite_dim,negative_frozen_dim,0.5,203,108,-2.9630541860176423,-1.0581597260854865,-1.1948326620629723,-0.92423442873046,0.0788177339901477
gemma,DISPUTED,opposite_dim,negative_frozen_dim,1.0,203,108,-4.113916256451255,-2.2380401268601418,-2.5228455390689186,-1.9636357095943373,0.1724137931034483
gemma,DISPUTED,opposite_dim,negative_frozen_dim,2.0,203,108,-6.5508004929044565,-4.709394294538616,-5.33961829846196,-4.09104456666995,0.3990147783251231
